,P1,P2,P3,P4,P5
959,1,1,1,1,0
960,1,1,1,0,0
961,1,1,1,1,1
962,1,1,1,1,1
963,NA,0,0,0,0
964,NA,1,1,0,0
965,NA,1,1,1,0
966,NA,1,1,1,0
967,NA,0,0,0,0
968,NA,1,1,1,0
969,NA,1,0,0,0
970,NA,1,1,0,0
971,NA,0,1,0,1
972,NA,0,0,0,0
973,0,0,0,0,0
974,0,1,0,1,1
975,NA,1,1,0,0
976,NA,1,0,0,1
977,NA,1,1,1,1
978,NA,1,1,0,0
979,NA,1,1,1,0
980,NA,0,0,0,0
981,NA,1,1,1,1
982,NA,1,0,0,0
983,0,0,0,0,0
984,0,0,0,0,0
985,NA,0,0,0,0
986,NA,0,1,0,0
987,NA,0,0,0,0
988,NA,1,1,0,1
989,0,0,0,0,0
990,0,0,0,0,0
991,NA,0,0,0,0
992,NA,0,0,0,0
993,NA,1,1,1,1
994,NA,0,0,0,0
995,NA,0,0,0,0
996,NA,0,NA,NA,NA
997,NA,0,0,0,0
998,NA,1,1,1,0
999,NA,1,1,1,1
1000,NA,1,1,1,0
1001,1,1,1,1,1
1002,0,0,0,0,0
1003,NA,0,0,0,0
1004,NA,1,0,0,1
1005,NA,0,0,0,0
1006,NA,1,1,0,0
1007,NA,1,0,0,0
1008,NA,1,1,0,0
1009,NA,0,0,0,0
1010,NA,0,0,0,0
1011,NA,0,1,1,1
1012,NA,0,0,0,0
1013,NA,0,0,0,0
1014,NA,0,0,0,0
1015,NA,0,0,0,0
1016,NA,1,0,1,0
1017,NA,1,1,1,1
1018,NA,1,1,0,1
1019,NA,0,0,0,0
1020,NA,0,0,0,0
1021,NA,0,0,0,0
1022,NA,1,1,1,0
1023,NA,0,0,0,0
1024,NA,1,1,0,0
1025,NA,0,0,0,0
1026,NA,0,0,0,0
1027,NA,0,0,0,0
1028,NA,0,0,0,0
1029,NA,0,0,0,0
1030,NA,1,1,1,1
1031,NA,0,0,0,0
1032,NA,0,0,0,0
1033,NA,0,0,0,0
1034,NA,0,0,0,0
1035,NA,0,0,0,0
1036,NA,0,0,0,0
1037,NA,0,0,0,0
1038,NA,0,0,0,0
1039,NA,0,0,0,0
1040,NA,0,0,0,0
1041,NA,0,0,0,0
1042,NA,0,0,0,0
1043,NA,0,0,0,0
1044,NA,0,0,0,0
1045,NA,1,0,1,0
1046,NA,1,1,0,0
1047,NA,0,0,0,0
1048,NA,0,0,0,0
1049,NA,0,0,0,0
1050,NA,0,0,0,0
1051,NA,1,0,0,0
1052,NA,0,1,1,0
1053,NA,1,0,0,0
1054,NA,1,1,0,0
1055,NA,0,0,0,0
1056,NA,1,1,0,0
1057,NA,1,1,1,1
1058,NA,0,0,0,0
1059,NA,0,0,0,0
1060,NA,0,1,1,1
1061,NA,0,0,0,0
1062,NA,1,1,1,1
1063,NA,0,0,0,0
1064,NA,0,0,0,0
1065,NA,1,1,0,0
1066,NA,1,1,1,0
1067,NA,0,0,1,1
1068,NA,0,0,0,0
1069,NA,1,1,1,1
1070,NA,1,1,1,0
1071,NA,0,0,0,0
1072,NA,0,0,0,0
1073,NA,1,1,0,0
1074,NA,1,1,1,0
1075,NA,1,1,1,1
1076,NA,0,0,0,0
1077,NA,0,0,0,0
1078,NA,0,0,0,0
1079,NA,0,0,0,0
1080,NA,0,0,0,0
1081,NA,0,0,0,0
1082,NA,0,1,0,0
